Sr,Name,Material Code,Material Name,Material Group,Marerial New Group,Has Serial No,Customer Code
,,,,,,,
1,103964,103964,Restricted Area Sign Board (4ftx2ft) with MS Angle Post,Consumable,OHS Stores & Spares,0,
2,103963,103963,No Photography Sign Board (4ftx2ft) with MS Angle Post,Consumable,OHS Stores & Spares,0,
3,103962,103962,Prohibited Area Sign Board (4ftx2ft) with MS Angle Post,Consumable,OHS Stores & Spares,0,
4,103961,103961,Door Name Plate,Consumable,Office Printing & Stationery Stores & Spares,0,
5,103960,103960,Mines Information Sticker,Consumable,OHS Stores & Spares,0,
6,103959,103959,Spring Bush,Consumable,Motor Vehicle Stores & Spares (GAD),0,
7,103958,103958,Foot/Side Step (20026),Consumable,Other Miscelleanous Stores & Spares,0,
8,103957,103957,Bumper REAR (20026),Consumable,Motor Vehicle Stores & Spares (GAD),0,
9,103956,103956,Rain Guard (Isuzu D-Max),Consumable,Motor Vehicle Stores & Spares (GAD),0,
10,102874,102874,"QL, 40, Bit Hd for Drill Machine ICM 350",Consumable,Plant & Machinery Stores & Spares (ICM),0,
11,100762,100762,"QL, 40, Bit Hd for Drill Machine ICM 260",Consumable,Plant & Machinery Stores & Spares (ICM),0,
12,103955,103955,CGI sheet (.35mm x 8ft),Consumable,Building & Civil Stores & Spares,0,
13,103954,103954,DGM Area Office Sign Board (3ftx2ft) with MS Angle Post,Consumable,OHS Stores & Spares,0,
14,103953,103953,OB Dump Yard Sign Board (3ftx2ft) with MS Angle Post,Consumable,OHS Stores & Spares,0,
15,103952,103952,Cable Tie,Consumable,Other Miscelleanous Stores & Spares,0,
16,103951,103951,PVC Cable Tray ,Consumable,Electrical (Stores & Spares),0,
17,103950,103950,MCB Channel,Consumable,Electrical (Stores & Spares),0,
18,103949,103949,Overload Relay 45-75Amps (MN5),Consumable,Electrical (Stores & Spares),0,
19,103948,103948,"Motor Protection Circuit Breaker (MPCB), 14-20A (MOG-S1) 20 Amp",Consumable,Electrical (Stores & Spares),0,
20,103947,103947,"Motor Protection Circuit Breaker (MPCB), 11-16A (MOG-S1) 16 Amp",Consumable,Electrical (Stores & Spares),0,
21,103946,103946,"Motor Protection Circuit Breaker (MPCB), 6.30-10A (MOG-S1) 10 Amp",Consumable,Electrical (Stores & Spares),0,
22,100512,100512,HDMI to HDMI Cable ,Consumable,Data Processig Stores & Spares,0,
23,103939,103939,Machine Woven Gabion Box Hexagonal Size 60mm x 80mm of (2mx1mx1m) with diaphragm ,Consumable,Building & Civil Stores & Spares,0,
24,103942,103942,Glass Assy (YN02C04541F1/KBPD0164-K) for Excavator S210,Consumable,Plant & Machinery Stores & Spares (Excavators),0,
25,103945,103945,Arm Bush Assy (YN12B11184P1J1R) for Excavator SK210,Consumable,Plant & Machinery Stores & Spares (Excavators),0,
26,103944,103944,Door Glass LH (YN51C01251P1) for Excavator SK210,Consumable,Plant & Machinery Stores & Spares (Excavators),0,
27,103943,103943,Looking Mirror - Back View (2456Z253) for Excavator,Consumable,Plant & Machinery Stores & Spares (Excavators),0,
28,103941,103941,Arm Outer Bush ( YN12B02285P1) for Excavator SK210,Consumable,Plant & Machinery Stores & Spares (Excavators),0,
29,103940,103940,Arm Inner Bush (YN12B02405P1J1R) for Excavator SK210,Consumable,Plant & Machinery Stores & Spares (Excavators),0,
30,103938,103938,USB LAN Adapter ,Consumable,Data Processig Stores & Spares,0,
31,103937,103937,Serial Cable Male to Female,Consumable,Data Processig Stores & Spares,0,
32,103936,103936,Side Marker Lamp Assy.- Front (DC Turbo Bolero),Consumable,Motor Vehicle Stores & Spares (GAD),0,
33,103935,103935,Radiator Grill Assy. (DC Turbo Bolero),Consumable,Motor Vehicle Stores & Spares (GAD),0,
34,103934,103934,Bumper Front (DC Turbo Bolero),Consumable,Motor Vehicle Stores & Spares (GAD),0,
35,103933,103933,Inter Cooler Assy. (DC Turbo Bolero),Consumable,Motor Vehicle Stores & Spares (GAD),0,
36,103932,103932,Nozzle Washer (ISSUZU D-Max),Consumable,Motor Vehicle Stores & Spares (GAD),0,
37,103931,103931,Injector (ISSUZU D-Max),Consumable,Motor Vehicle Stores & Spares (GAD),0,
38,103930,103930,Hubs Bearing Inner (DC Turbo Bolero),Consumable,Motor Vehicle Stores & Spares (GAD),0,
39,103929,103929,Rear Axle Bearing (DC Turbo Bolero),Consumable,Motor Vehicle Stores & Spares (GAD),0,
40,103928,103928,Spring 5th Leaf (TATA 1613),Consumable,Motor Vehicle Stores & Spares (GAD),0,
41,103927,103927,Spring Helper 3rd Leaf,Consumable,Motor Vehicle Stores & Spares (GAD),0,
42,103926,103926,Shackle Pin FRONT (TATA 1613),Consumable,Motor Vehicle Stores & Spares (GAD),0,
43,103925,103925,Shackle Pin REAR (TATA 1613),Consumable,Motor Vehicle Stores & Spares (GAD),0,
44,103924,103924,Due Bush Assembly Kit (LPK 1618),Consumable,Motor Vehicle Stores & Spares (GAD),0,
45,103923,103923,Brake Adjuster Rear (LPK 1618),Consumable,Motor Vehicle Stores & Spares (GAD),0,
46,103922,103922,Aggregate,Consumable,Building & Civil Stores & Spares,0,
47,103921,103921,"Coil Spring (Rod Diameter 16mm, Outer diameter 120mm, Inner diameter 88mm, Free Length 250mm & No. of Coil 8.5 Coils)",Consumable,Plant & Machinery Stores & Spares (Crusher),0,
48,103920,103920,Sprocket (LS51D01001P1FQ) - SK520XDLC-10,Consumable,Plant & Machinery Stores & Spares (Excavators),0,
49,103919,103919,AC Filter (LQ50V01007P1) - SK520XDLC-10,Consumable,Plant & Machinery Stores & Spares (Excavators),0,
50,103918,103918,AC Filter (LQ50V01009P1) - SK520XDLC-10,Consumable,Plant & Machinery Stores & Spares (Excavators),0,
51,103917,103917,Strainer (LS50V00007S001) - SK520XDLC-10,Consumable,Plant & Machinery Stores & Spares (Excavators),0,
52,103916,103916,Hydraulic Pilot Line (YN50V01001S005) - SK520XDLC-10,Consumable,Plant & Machinery Stores & Spares (Excavators),0,
53,103915,103915,Hydraulic Drain Filter  (LS50V01001S001) - SK520XDLC-10,Consumable,Plant & Machinery Stores & Spares (Excavators),0,
54,103914,103914,Breather Element (LV57V00002S003 ) - SK520XDLC-10,Consumable,Plant & Machinery Stores & Spares (Excavators),0,
55,101894,101894,Pre Filter/Water Separator (LS21P01035R100J1L) - SK520XDLC-10,Consumable,Plant & Machinery Stores & Spares (Excavators),0,
56,101895,101895,Hydraulic Filter/Repair Kit (LC52V01004R100) - SK520XDLC-10,Consumable,Plant & Machinery Stores & Spares (Excavators),0,
57,103913,103913,Hydraulic Door Closer,Consumable,Building & Civil Stores & Spares,0,
58,103912,103912,Gate Valve ,Consumable,Building & Civil Stores & Spares,0,
59,103911,103911,Earthing Plate 24 x 24,Consumable,Building & Civil Stores & Spares,0,
60,103910,103910,GI Pipe 32mm,Consumable,Building & Civil Stores & Spares,0,
61,103909,103909,CPVC Bib Socket,Consumable,Building & Civil Stores & Spares,0,
62,103908,103908,Hyd. Hose Pipe for Wheel Loader,Consumable,Plant & Machinery Stores & Spares (Weel loaders),0,
63,103907,103907,Sprocket for Excavator (30 holes),Consumable,Plant & Machinery Stores & Spares (Excavators),0,
64,103906,103906,Hydraulic Strainer for Excavator,Consumable,Plant & Machinery Stores & Spares (Excavators),0,
65,103905,103905,Ribbon Cartridge for EVOLIS,Consumable,Office Printing & Stationery Stores & Spares,0,
66,103904,103904,Side Cutter Bolt,Consumable,Plant & Machinery Stores & Spares (Excavators),0,
67,103903,103903,Nylon Thread for Grass Cutter,Consumable,Other Miscelleanous Stores & Spares,0,
68,103902,103902,Joint Socket,Consumable,Motor Vehicle Stores & Spares (GAD),0,
69,103901,103901,Propeller Shaft Bolt with Oil Seal,Consumable,Motor Vehicle Stores & Spares (GAD),0,
70,103900,103900,Nut & Bolt (18/19),Consumable,Motor Vehicle Stores & Spares (GAD),0,
71,103899,103899,Shackle Pin Bush - RAER (PITAL),Consumable,Motor Vehicle Stores & Spares (GAD),0,
72,103898,103898,Cross Member NUT & BOLT -1617 (Oil Seal Type),Consumable,Motor Vehicle Stores & Spares (GAD),0,
73,103897,103897,Shackle Pin Bush -FRONT (PITAL),Consumable,Motor Vehicle Stores & Spares (GAD),0,
74,103896,103896,"Clamp 5"" (FRONT)",Consumable,Motor Vehicle Stores & Spares (GAD),0,
75,103895,103895,"Clamp 6"" (FRONT)",Consumable,Motor Vehicle Stores & Spares (GAD),0,
76,103894,103894,Center Bolt - FRONT,Consumable,Motor Vehicle Stores & Spares (GAD),0,
77,103893,103893,"U-Bolt 11""",Consumable,Motor Vehicle Stores & Spares (GAD),0,
78,103892,103892,"Auxiliary ""B"" FRONT Spring (MODI Com.)",Consumable,Motor Vehicle Stores & Spares (GAD),0,
79,103891,103891,"Auxiliary ""A"" FRONT Spring (MODI Com.)",Consumable,Motor Vehicle Stores & Spares (GAD),0,
80,103890,103890,Clamp Bolt (GS Com.),Consumable,Motor Vehicle Stores & Spares (GAD),0,
81,103889,103889,"Rear Clamp 5""",Consumable,Motor Vehicle Stores & Spares (GAD),0,
82,103888,103888,"Rear Clamp 7""",Consumable,Motor Vehicle Stores & Spares (GAD),0,
