Sr,Name,Total Volume (cft),Branch
1,Ad/43/2021,205.01,Zhemgang Unit
2,KKFMU/23/2021 (b),86.69,Khaling Kharungla Unit
3,O/56/2021,0,Changkhaphu Unit
4,KD/122/2020,722.05,Khotokha Unit
5,KEA/65/2020,860.21,Zhemgang Unit
6,Adhoc/Dfmu/28,147.56,Dongdeychu Unit
7,su/01/2022,180.6,Samtse Unit
8,UK/244/2021,462.75,Karshong Unit
9,UK/245/2021,58.13,Karshong Unit
10,UK/215/2021,354.88,Karshong Unit
11,MTD/182/2021,1090.05,Lingmethang Unit
12,KFMU/02/2022,149.62,Korilla Unit
13,UK/39/2019(E),256.62,Changkhaphu Unit
14,O/29/2019(A),1495.61,Changkhaphu Unit
15,O/07/2020(A),1256.892283,Changkhaphu Unit
16,O/10/2019(B),731.35,Changkhaphu Unit
17,O/71/2020,367.11,Changkhaphu Unit
18,O/162/19(B0,82.58,Changkhaphu Unit
19,O/120/19,39358,Changkhaphu Unit
20,O/18/2019,321.22,Changkhaphu Unit
21,O/168/19(A),1442.35,Changkhaphu Unit
22,O/124/19,92.63,Changkhaphu Unit
23,O/48/2019,1488.7,Changkhaphu Unit
24,O/64/2021,375.43,Changkhaphu Unit
25,O/77/2021,688.65,Changkhaphu Unit
26,O/115/19,358.7,Changkhaphu Unit
27,O/104/2020,1112.445014,Changkhaphu Unit
28,UK/38/2019(E),602.77,Changkhaphu Unit
29,O/190/2019,416.93,Changkhaphu Unit
30,O/144/2019,337.2,Changkhaphu Unit
31,O/102/2021,285.9,Changkhaphu Unit
32,o/93/2019,461.3,Changkhaphu Unit
33,O/150/19,625.68,Changkhaphu Unit
34,O/103/2020,984.123212,Changkhaphu Unit
35,O/94/19(A),102.75,Changkhaphu Unit
36,O/99/2020,948.095117,Changkhaphu Unit
37,O/154/2019(A),149.99,Changkhaphu Unit
38,UK/38/2019(F),666.33,Changkhaphu Unit
39,O/183/2019,435.21,Changkhaphu Unit
40,0/56/2019-1,423.87,Changkhaphu Unit
41,UK/34/2019(A),171.29,Changkhaphu Unit
42,O/69/2019,272.33,Changkhaphu Unit
43,O/112/19-1,298,Changkhaphu Unit
44,UK/43/2019(D),554.31,Changkhaphu Unit
45,O/111/2020,113.87,Changkhaphu Unit
46,O/196/2019(B),557.87,Changkhaphu Unit
47,UK/34/2019(C),213.91,Changkhaphu Unit
48,O/136/19-1,935.95,Changkhaphu Unit
49,o/92/2019,801.65,Changkhaphu Unit
50,O/03/2019-1,327.03,Changkhaphu Unit
51,O/26/2020(A),243.404474,Changkhaphu Unit
52,UK/29/2019(C),483.38,Changkhaphu Unit
53,O/253/2018,627.86,Changkhaphu Unit
