Sr,Material Code,Business Activity
1,600270,Timber
2,600637,Timber
3,600636,Timber
4,600635,Firewood
5,600634,Firewood
6,600274,Joinery
7,600556,Firewood
8,600604,Firewood
9,600602,Firewood
10,600603,Firewood
11,600279,Firewood
12,600532,Firewood
13,600531,Firewood
14,600278,Firewood
15,600545,Timber
16,600555,Firewood
17,600537,Firewood
18,600572,Firewood
19,600539,Firewood
20,600582,Firewood
21,600581,Firewood
22,600599,Firewood
23,600600,Firewood
24,600544,Firewood
25,600620,Joinery
26,600621,Joinery
27,600619,Joinery
28,600564,Joinery
29,600565,Joinery
30,600563,Joinery
31,600277,Joinery
32,600276,Joinery
33,600275,Joinery
34,600280,Briquette
35,600554,Glulaminated
36,600553,Glulaminated
37,600542,Glulaminated
38,600541,Glulaminated
39,600285,Glulaminated
40,600284,Glulaminated
41,600283,Glulaminated
42,600282,Glulaminated
43,600561,Woodchips
44,600281,Woodchips
45,600093,Timber
46,600092,Timber
47,600091,Timber
48,600090,Timber
49,600089,Timber
50,600088,Timber
51,600087,Timber
52,600086,Timber
53,600085,Timber
54,600084,Timber
55,600083,Timber
56,600082,Timber
57,600081,Timber
58,600080,Timber
59,600079,Timber
60,600078,Timber
61,600077,Timber
62,600076,Timber
63,600075,Timber
64,600074,Timber
65,600073,Timber
66,600072,Timber
67,600071,Timber
68,600070,Timber
69,600069,Timber
70,600068,Timber
71,600067,Timber
72,600066,Timber
73,600065,Timber
74,600064,Timber
75,600063,Timber
76,600062,Timber
77,600061,Timber
78,600060,Timber
79,600059,Timber
80,600058,Timber
81,600057,Timber
82,600056,Timber
83,600055,Timber
84,600054,Timber
85,600053,Timber
86,600052,Timber
87,600051,Timber
88,600050,Timber
89,600049,Timber
90,600048,Timber
91,600047,Timber
92,600046,Timber
93,600045,Timber
94,600044,Timber
95,600043,Timber
96,600042,Timber
97,600041,Timber
98,600040,Timber
99,600039,Timber
100,600038,Timber
101,600037,Timber
102,600036,Timber
103,600035,Timber
104,600034,Timber
105,600033,Timber
106,600032,Timber
107,600031,Timber
108,600030,Timber
109,600029,Timber
110,600028,Timber
111,600027,Timber
112,600026,Timber
113,600025,Timber
114,600024,Timber
115,600023,Timber
116,600022,Timber
117,600021,Timber
118,600020,Timber
119,600019,Timber
120,600018,Timber
121,600017,Timber
122,600016,Timber
123,600015,Timber
124,600014,Timber
125,600013,Timber
126,600012,Timber
127,600011,Timber
128,600010,Timber
129,600009,Timber
130,600008,Timber
131,600007,Timber
132,600006,Timber
133,600005,Timber
134,600004,Timber
135,600003,Timber
136,600002,Timber
137,600001,Timber
138,600000,Timber
139,600535,Timber
140,600131,Timber
141,600588,Timber
142,600559,Timber
143,600623,Firewood
144,600632,Joinery
145,600633,Joinery
146,600595,Timber
147,600594,Timber
148,600631,Joinery
149,600629,Joinery
150,600630,Joinery
151,600628,Joinery
152,600609,Joinery
153,600627,Joinery
154,600622,Joinery
155,600626,Joinery
156,600625,Joinery
157,600624,Joinery
158,600576,Joinery
159,600616,Timber
160,600618,Timber
161,600617,Timber
162,600558,Firewood
163,600615,Timber
164,600614,Firewood
165,600613,Joinery
166,600612,Joinery
167,600568,Joinery
168,600611,Joinery
169,600610,Joinery
170,600150,Timber
171,600608,Joinery
172,600288,Timber
173,600597,Timber
174,600605,Timber
175,600606,Timber
176,600607,Timber
177,600598,Firewood
178,600590,Timber
179,600273,Timber
180,600272,Timber
181,600271,Timber
182,600596,Timber
183,600300,Timber
184,600593,Joinery
185,600592,Timber
186,600111,Timber
187,600343,Timber
188,600591,Timber
189,600560,Timber
190,600584,
191,600578,Timber
192,600549,Timber
193,600550,Timber
194,600585,Timber
195,600586,Timber
196,600587,Timber
197,600583,Timber
198,600580,
199,600579,Timber
200,600577,Joinery
201,600575,Joinery
202,600574,Joinery
203,600573,Joinery
204,600571,Joinery
205,600569,Joinery
206,600570,Joinery
207,600567,Joinery
208,600566,Joinery
209,600562,Timber
210,600185,Timber
211,600557,
212,600552,
213,600551,
214,600548,
215,600547,
216,600536,
217,600534,
218,600533,
219,600530,Timber
220,600529,Timber
221,600528,Timber
222,600527,Timber
223,600526,Timber
224,600525,Timber
225,600524,Timber
226,600523,Timber
227,600522,Timber
228,600521,Timber
229,600520,Timber
230,600519,Timber
231,600518,Timber
232,600517,Timber
233,600516,Timber
234,600515,Timber
235,600514,Timber
236,600513,Timber
237,600512,Timber
238,600511,Timber
239,600510,Timber
240,600509,Timber
241,600508,Timber
242,600507,Timber
243,600506,Timber
244,600505,Timber
245,600504,Timber
246,600503,Timber
247,600502,Timber
248,600501,Timber
249,600500,Timber
250,600499,Timber
251,600498,Timber
252,600497,Timber
253,600496,Timber
254,600495,Timber
255,600494,Timber
256,600493,Timber
257,600492,Timber
258,600491,Timber
259,600490,Timber
260,600489,Timber
261,600488,Timber
262,600487,Timber
263,600486,Timber
264,600485,Timber
265,600484,Timber
266,600483,Timber
267,600482,Timber
268,600481,Timber
269,600480,Timber
270,600479,Timber
271,600478,Timber
272,600477,Timber
273,600476,Timber
274,600475,Timber
275,600474,Timber
276,600473,Timber
277,600472,Timber
278,600471,Timber
279,600470,Timber
280,600469,Timber
281,600468,Timber
282,600467,Timber
283,600466,Timber
284,600465,Timber
285,600464,Timber
