Sr,Name,Total Volume (cft),Branch
1,WSC/MC/20/06(B),9.51,Ramtokto
2,375/B/19(A),241.33,Ramtokto
3,KD/91/2020,50.96,Khotokha Unit
4,DFMU/17/2017-A,17.32,Dongdeychu Unit
5,GD/2020/06,0.0,Gedu Unit
6,WSC/MC/21/29,8.72,Ramtokto
7,Ad-hoc/23/(E) 2020-1,382.61,Zhemgang Unit
8,SD/39/2020,1241.67,Wangdue
9,DFMU/11/18-1,0.0,Dongdeychu Unit
10,O/71/20209(A),760.895833,Changkhaphu Unit
11,SR/38(A)/2020-1,425.21,Samtse Unit
12,UK/110/2021,1143.76,Karshong Unit
13,SD/70/2020,985.24,Punakha Unit
14,"Ad/23(E),2020-1",71.23,Zhemgang Unit
15,GAP/47/2020,849.32,Gogona Unit
16,35-Adhoc/19,151.55,Zonglela Unit
17,UK/43/2019(E),548.63,Changkhaphu Unit
18,O/83/2019 (A),379.83,Changkhaphu Unit
19,O/57/2020-1,1026.25,Changkhaphu Unit
20,Purbay/01/2020 (RH),14.4,Samtse Unit
21,BD/15/2019(A),175.44,Wangdue
22,WSC/BP/20(286),1442.68,Ramtokto
23,WSC/MC/20(141),992.29,Ramtokto
24,NTD/1A/2020,40.0,Nganglam Unit
25,O/171/1019,667.82,Changkhaphu Unit
26,DFMU/47/19-A,10.0,Dongdeychu Unit
27,O/118/2019,346.87,Changkhaphu Unit
28,4K/43/2019(D),554.31,Changkhaphu Unit
29,DC/65/2019,0.0,Changkhaphu Unit
30,CPVT/01/2018 (BP),20176.35,Ramtokto
31,WSC-2,271.78,Ramtokto
32,WSC/BPB/19/346,949.4,Ramtokto
33,WSC/TD/142/19 (19),860.67,Ramtokto
34,118-Adhoc/18,430.4,Changkhaphu Unit
35,D/00/2019,680.451389,Gidakom Unit
36,TD/69/19,93.92,Changkhaphu Unit
37,d/19,198.0,Gidakom Unit
38,O/56/2021,0.0,Changkhaphu Unit
39,180-W/2020,899.641902,Selela Unit
40,202-W/2020,1116.625589,Selela Unit
41,417-W/2020,1209.85,Selela Unit
42,332-W/19,1064.38,Selela Unit
43,380-W/2020,1437.47,Selela Unit
44,228-W/19,1090.95,Selela Unit
45,285-W/2020,660.47,Selela Unit
46,256-W/19,1032.297354,Selela Unit
47,316-W/2020,1453.37,Selela Unit
48,115-W/2020,832.127147,Selela Unit
49,385-W/19,1238.16,Selela Unit
50,278-W/19,1118.5,Selela Unit
51,221-W/19,1268.84,Selela Unit
52,231-W/19,1134.65,Selela Unit
53,213-W/2020,1068.825018,Selela Unit
54,407-w/19,1109.511705,Selela Unit
55,319-W/19,1052.22,Selela Unit
56,309-W/19,1107.61,Selela Unit
57,298-W/19,1062.29,Selela Unit
58,355-W/19,912.920821,Selela Unit
59,409-W/19,1317.23,Selela Unit
60,238-W/19,1095.76,Selela Unit
61,383-W/19,1068.314397,Selela Unit
62,210-W/2020,1201.280422,Selela Unit
63,139-W/2020,727.060169,Selela Unit
64,134-W/2020,997.059506,Selela Unit
65,150-W/2020,796.201287,Selela Unit
66,303-W/2020,865.58,Selela Unit
67,176-W/2020,999.203674,Selela Unit
68,179-W/2020,1036.561927,Selela Unit
69,419-W/2020,402.61,Selela Unit
70,178-W/2020,931.525343,Selela Unit
71,156-W/19,1312.26,Selela Unit
72,212-W/19,1072.85,Selela Unit
73,65-W/19,1086.4,Selela Unit
74,95-W/19,842.49,Selela Unit
75,295-w/19,972.89,Selela Unit
76,199-W19,923.55,Selela Unit
77,302-W/2020,1022.41,Selela Unit
78,117-W/19,1027.11,Selela Unit
79,243-B/19,968.343686,Bitekha Unit
80,32-B/19-1,954.99,Bitekha Unit
81,313-B/2020,1111.7,Bitekha Unit
82,67-B/19-1,962.59,Bitekha Unit
83,33-B/19-1,1059.34,Bitekha Unit
84,315-B/19,1018.306108,Bitekha Unit
85,243-B/2020,1155.691991,Bitekha Unit
86,333-B/2020,295.7,Bitekha Unit
87,41-B/19-1,1072.6,Bitekha Unit
88,219-B/2020,1620.78,Bitekha Unit
89,360-B/19,1261.62,Bitekha Unit
90,312-B/19,1033.99,Bitekha Unit
91,217-B/2020,1447.329738,Bitekha Unit
92,281-B/19,1122.13,Bitekha Unit
93,293-B/19,1349.161675,Bitekha Unit
94,272-B/19,970.9,Bitekha Unit
95,351-B/19,1159.21,Bitekha Unit
96,265-B/19,1063.18,Bitekha Unit
97,87-B/19-1,1081.06,Bitekha Unit
98,220-B/19,1216.82,Bitekha Unit
99,187-B/2020,803.195805,Bitekha Unit
100,303-B/19,1131.048984,Bitekha Unit
101,361-B/19,1096.32,Bitekha Unit
102,334-B/19,1067.57,Bitekha Unit
103,343-B/19,971.476492,Bitekha Unit
104,362-B/19,1374.88,Bitekha Unit
105,232-B/2020,1503.507482,Bitekha Unit
106,300-B/19,1035.46,Bitekha Unit
107,279-B/2020,1120.44,Bitekha Unit
108,359-B/19,1213.451889,Bitekha Unit
109,335-B/19,1287.387542,Bitekha Unit
110,329-B/19,1432.69,Bitekha Unit
111,184-B/2020,1106.744181,Bitekha Unit
112,185-B/2020,926.443445,Bitekha Unit
113,114-B/19-1,1104.81,Bitekha Unit
114,191-B/2020,1078.390327,Bitekha Unit
115,286-B/19,1169.45,Bitekha Unit
116,358-B/19,1100.51,Bitekha Unit
117,58-B/19-1,811.87,Bitekha Unit
118,317-B/19,1279.06,Bitekha Unit
119,283-B/19,1179.67,Bitekha Unit
120,271-B/2020,1023.62,Bitekha Unit
121,225-B/2020,1344.16,Bitekha Unit
122,333-B/19,979.44,Bitekha Unit
123,240-B/19,1116.08,Bitekha Unit
124,316-B/19,1067.15,Bitekha Unit
125,266-B/19,1243.617786,Bitekha Unit
126,233-B/19,1314.982095,Bitekha Unit
127,375-B/19,829.58,Bitekha Unit
128,64-B/19-1,733.53,Bitekha Unit
129,301-B/19,1290.94,Bitekha Unit
130,109-B/19-1,1091.82,Bitekha Unit
131,251-B/19,1109.05745,Bitekha Unit
132,340-B/19,1369.078671,Bitekha Unit
133,78-B/19-1,1048.53,Bitekha Unit
134,263-B/19,1144.81,Bitekha Unit
135,228-B/2020,1474.79,Bitekha Unit
136,304-B/19,1015.33,Bitekha Unit
137,342-B/19,1281.14,Bitekha Unit
138,374-B/19,941.23,Bitekha Unit
139,284-B/19,982.11,Bitekha Unit
140,229-B/2020,1418.61,Bitekha Unit
141,373-B/19,780.31,Bitekha Unit
142,232-B/19,1275.66,Bitekha Unit
143,287-B/19,1071.871615,Bitekha Unit
144,224-B/19,1081.310374,Bitekha Unit
145,218-B/2020,1275.39,Bitekha Unit
146,275-B/2020,1071.1,Bitekha Unit
147,350-B/19,1085.51,Bitekha Unit
148,339-B/19,1385.798205,Bitekha Unit
149,270-B/19,1035.67,Bitekha Unit
150,108-B/19-1,1085.48,Bitekha Unit
151,223-B/19,1092.58549,Bitekha Unit
152,323-B/19,1373.91,Bitekha Unit
153,341-B/19,1245.6,Bitekha Unit
154,15-Na/21,1154.29,Zonglela Unit
155,16-Na/21,1096.63,Zonglela Unit
156,52-Na/21,1267.34,Zonglela Unit
157,26-Na/21,982.2,Zonglela Unit
158,19-Na/21,1015.01,Zonglela Unit
159,47-Adh/21(B),351.25,Zonglela Unit
160,103-C/20,1280.42,Zonglela Unit
161,100-C/20,1174.46,Zonglela Unit
162,99-C/20,1193.72,Zonglela Unit
