Sr,Name,Branch,Entry Type,Reference Name,Posting Date
1,JEJV230100653-1,HR and Administration,Journal Entry,ASSET171100266,12/31/2022
2,JEJV230100689,Gelephu,Journal Entry,ASSET171101257,12/31/2022
3,JEJV230100690,Gelephu,Journal Entry,ASSET171101261,12/31/2022
4,JEJV230100687,Gelephu,Journal Entry,ASSET171101253,12/31/2022
5,JEJV230100691,Gelephu,Journal Entry,ASSET171101263,12/31/2022
6,JEJV230100654,Phuentsholing Township Development Project (Zone A),Journal Entry,ASSET171100662,12/31/2022
7,JEJV230100661,HR and Administration,Journal Entry,ASSET210800003,12/31/2022
8,JEJV230100662,HR and Administration,Journal Entry,ASSET210800004,12/31/2022
9,JEJV230100663,HR and Administration,Journal Entry,ASSET210800005,12/31/2022
10,JEJV230100664,Memelakha Asphalt Plant,Journal Entry,ASSET220100002,12/31/2022
11,JEJV230100665,"Water Supply Scheme Project, Jigmeling",Journal Entry,ASSET220600028,12/31/2022
12,JEJV230100666,KC-2B,Journal Entry,ASSET211200023,12/31/2022
13,JEJV230100667,KC-2B,Journal Entry,ASSET211200024,12/31/2022
14,JEJV230100668,KC-2B,Journal Entry,ASSET211200025,12/31/2022
15,JEJV230100669,KC-2B,Journal Entry,ASSET220400003,12/31/2022
16,JEJV230100671,HR and Administration,Journal Entry,ASSET171102484,12/31/2022
17,JEJV230100672,HR and Administration,Journal Entry,ASSET171102485,12/31/2022
18,JEJV230100642,Gelephu,Journal Entry,ASSET171103745,12/31/2022
19,JEJV230100641,Gelephu,Journal Entry,ASSET171102917,12/31/2022
20,JEJV230100640,HR and Administration,Journal Entry,ASSET171101186,12/31/2022
21,JEJV230100639,Sub-Fleet Phuntsholing,Journal Entry,ASSET171102357,12/31/2022
22,JEJV230100638,Sub-Fleet Phuntsholing,Journal Entry,ASSET171100972,12/31/2022
23,JEJV230100637,Hesothangkha,Journal Entry,ASSET171104188,12/31/2022
24,JEJV230100636,Hesothangkha,Journal Entry,ASSET171100924,12/31/2022
25,JEJV230100635,Hesothangkha,Journal Entry,ASSET171103874,12/31/2022
26,JEJV230100634,Hesothangkha,Journal Entry,ASSET171103950,12/31/2022
27,JEJV230100633,Hesothangkha,Journal Entry,ASSET171101865,12/31/2022
28,JEJV230100632,Hesothangkha,Journal Entry,ASSET171100938,12/31/2022
