Data Import Template,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table:,Stock Entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please do not change the template headings.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First data column must be blank.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If you are uploading new records, leave the ""name"" (ID) column blank.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For updating, you can update only selective columns.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You can only upload upto 5000 records in one go. (may be less in some cases),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DocType:,Stock Entry,,,,,,,,,,,,,,,,,,,~,Stock Entry Detail,items,,,,,,,,,,,,,,
Column Labels:,ID,Stock Entry Title,Stock Entry Purpose,Stock Entry Series,Company,Posting Date,Posting Time,Source Warehouse,Receiving Warehouse,Equipment,Vehicle No,Transporter Name,Vehicle dispatch date,Unloading By,Equipment Model,Tyre Weight,Gross Vehicle Weight,Weight Slip No,POL Slip No,,Material Code,Qty,UOM,Stock UOM,Difference Account,Cost Center,Material Name,Basic Rate (as per Stock UOM),Basic Amount,Amount,Valuation Rate,Received Qty,Difference Qty,Basic Rate(D),Basic Amount(D),Remarks
Column Name:,name,title,purpose,naming_series,company,posting_date,posting_time,from_warehouse,to_warehouse,equipment,equipment_number,transporter_name,vehicle_dispatch_date_and_time,unloading_by,equipment_model,tyre_weight,gross_vehicle_weight,weight_slip_no,pol_slip_no,~,item_code,qty,uom,stock_uom,expense_account,cost_center,item_name,basic_rate,basic_amount,amount,valuation_rate,received_qty,difference_qty,basic_rate1,basic_amount1,remarks
Mandatory:,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No
Type:,Data (text),Data,Select,Select,Link,Date,Time,Link,Link,Link,Read Only,Data,Data,Select,Read Only,Float,Data,Data,Data,,Link,Float,Link,Link,Link,Link,Data,Currency,Currency,Currency,Currency,Float,Float,Currency,Currency,Text
Info:,,,"One of: Material Issue, Material Receipt, Material Transfer","One of: Consumable GR, Capital Inventory GR, Coal GR, Dolomite GR, Gypsum GR, Stone GR, Limestone GR, Bauxite GR, Quartzite GR, Talc GR, 0-5 mm Dust GR, 10-20 mm Aggregates GR, 40 mm Aggregates GR",Valid Company,,,Valid Warehouse,Valid Warehouse,Valid Equipment,,,,"One of: Transporter, Company",,,,,,,Valid Item,,Valid UOM,Valid UOM,Valid Account,Valid Cost Center,,,,,,,,,,
Start entering data below this line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stock Transfer for Gypsum,Material Transfer,Inventory Transfer,State Mining Corporation Ltd,11/1/2019,16:24:00,Khothagpa Gypsum Mines - SMCL,Samdrup Jongkhar Gypsum Stockyard - SMCL,EQUIP190043,BP-2B-0763,,,Transporter,,8,26.46,390,327,,300017,18.23,MT,MT,Cost of Good Manufacture - SMCL,Khothakpa Gypsum Mine - SMCL,Gypsum Crushed,"1,218.34",22210.3382,22210.3382,"1,218.34",18.46,0.23,"1,218.34",280.2182,
,,Stock Transfer for Gypsum,Material Transfer,Inventory Transfer,State Mining Corporation Ltd,11/1/2019,16:24:00,Khothagpa Gypsum Mines - SMCL,Samdrup Jongkhar Gypsum Stockyard - SMCL,EQUIP190118,BP-2A-9626,,,Company,,7.09,24.42,425,376,,300017,17.18,MT,MT,Cost of Good Manufacture - SMCL,Khothakpa Gypsum Mine - SMCL,Gypsum Crushed,"1,218.34",20931.0812,20931.0812,"1,218.34",17.33,0.15,"1,218.34",182.751,
,,Stock Transfer for Gypsum,Material Transfer,Inventory Transfer,State Mining Corporation Ltd,11/1/2019,16:24:00,Khothagpa Gypsum Mines - SMCL,Samdrup Jongkhar Gypsum Stockyard - SMCL,EQUIP190125,BP-2A-7118,,,Transporter,,6.77,22.41,389,329,,300017,15.5,MT,MT,Cost of Good Manufacture - SMCL,Khothakpa Gypsum Mine - SMCL,Gypsum Crushed,"1,218.34",18884.27,18884.27,"1,218.34",15.64,0.14,"1,218.34",170.5676,
,,Stock Transfer for Gypsum,Material Transfer,Inventory Transfer,State Mining Corporation Ltd,11/1/2019,16:24:00,Khothagpa Gypsum Mines - SMCL,Samdrup Jongkhar Gypsum Stockyard - SMCL,EQUIP190117,BP-2A-4427,,,Company,,6.84,23.07,533,441,,300017,16.11,MT,MT,Cost of Good Manufacture - SMCL,Khothakpa Gypsum Mine - SMCL,Gypsum Crushed,"1,218.34",19627.4574,19627.4574,"1,218.34",16.23,0.12,"1,218.34",146.2008,
,,Stock Transfer for Gypsum,Material Transfer,Inventory Transfer,State Mining Corporation Ltd,11/1/2019,16:24:00,Khothagpa Gypsum Mines - SMCL,Samdrup Jongkhar Gypsum Stockyard - SMCL,EQUIP190098,BP-1A-3014,,,Transporter,,6.81,23.28,400,341,,300017,16.31,MT,MT,Cost of Good Manufacture - SMCL,Khothakpa Gypsum Mine - SMCL,Gypsum Crushed,"1,218.34",19871.1254,19871.1254,"1,218.34",16.47,0.16,"1,218.34",194.9344,
